3066599501,5,2015-07-17 17:40:32,-1,1
3066599502,6,2015-07-17 17:40:32,-1,2
3066598603,8,2015-07-17 17:40:32,-1,4
3066599404,12,2015-07-17 17:40:32,-1,8
3066853305,13,2015-07-17 17:40:40,-1,16
3066599706,14,2015-07-17 17:40:56,-1,32
3066599507,1,2015-07-17 17:41:28,-1,64
3066599808,2,2015-07-17 17:42:32,-1,128
3066599909,3,2015-07-17 17:44:40,-1,256
3066599810,4,2015-07-17 17:48:56,-1,512
3066600011,7,2015-07-17 17:48:56,-1,1024
3066599912,9,2015-07-17 17:48:56,-1,2048
3066599913,10,2015-07-17 17:48:56,-1,4096
3066600114,15,2015-07-17 17:48:56,-1,8192
3066759915,17,2015-07-17 20:05:28,-1,16384
3066760016,16,2015-07-18 00:38:32,-1,32768
3066760117,11,2015-07-18 09:43:50,-1,65534
3066760018,18,2015-07-19 03:56:04,-1,131068
3066760019,19,2015-07-20 16:20:32,-1,262136
3066760020,20,2015-07-23 17:09:28,-1,524272
